research_no,id,hotel_name,prefecture,area,station,venueId,venueNumber,venue_name,rank,genre,jalan_url,jalan_hotel_name,verification_status,name_similarity,prefecture_match,station_match,verification_note,search_url,candidate_url,checked_at,error
685,stage-229-1,福山ニューキャッスルホテル,広島県,福山,福山,stage-229,229,ふくやま芸術文化ホール リーデンローズ 大ホール,1,stage,https://www.jalan.net/yad321232/,福山ニューキャッスルホテル,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E7%A6%8F%E5%B1%B1%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%AD%E3%83%A3%E3%83%83%E3%82%B9%E3%83%AB%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad321232/,2026-08-08T16:27:30+09:00,
686,stage-229-2,ダイワロイネットホテル福山駅前,広島県,福山,福山,stage-229,229,ふくやま芸術文化ホール リーデンローズ 大ホール,2,stage,https://www.jalan.net/yad377029/,ダイワロイネットホテル福山駅前,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%80%E3%82%A4%E3%83%AF%E3%83%AD%E3%82%A4%E3%83%8D%E3%83%83%E3%83%88%E3%83%9B%E3%83%86%E3%83%AB%E7%A6%8F%E5%B1%B1%E9%A7%85%E5%89%8D%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad377029/,2026-08-08T16:27:33+09:00,
687,stage-229-3,リッチモンドホテル福山駅前,広島県,福山,福山,stage-229,229,ふくやま芸術文化ホール リーデンローズ 大ホール,3,stage,https://www.jalan.net/yad339594/,リッチモンドホテル福山駅前,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%AA%E3%83%83%E3%83%81%E3%83%A2%E3%83%B3%E3%83%89%E3%83%9B%E3%83%86%E3%83%AB%E7%A6%8F%E5%B1%B1%E9%A7%85%E5%89%8D%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad339594/,2026-08-08T16:27:36+09:00,
688,stage-230-1,コンフォートホテル新山口,山口県,新山口,新山口,stage-230,230,KDDI維新ホール メインホール,1,stage,https://www.jalan.net/yad339664/,コンフォートホテル新山口,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%82%B3%E3%83%B3%E3%83%95%E3%82%A9%E3%83%BC%E3%83%88%E3%83%9B%E3%83%86%E3%83%AB%E6%96%B0%E5%B1%B1%E5%8F%A3%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad339664/,2026-08-08T16:27:38+09:00,
689,stage-230-2,東横INN新山口駅新幹線口,山口県,新山口,新山口,stage-230,230,KDDI維新ホール メインホール,2,stage,https://www.jalan.net/yad347583/,東横ＩＮＮ 新山口駅新幹線口,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E6%9D%B1%E6%A8%AAINN%E6%96%B0%E5%B1%B1%E5%8F%A3%E9%A7%85%E6%96%B0%E5%B9%B9%E7%B7%9A%E5%8F%A3%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad347583/,2026-08-08T16:27:41+09:00,
690,stage-230-3,ホテルアクティブ!山口,山口県,新山口,新山口,stage-230,230,KDDI維新ホール メインホール,3,stage,https://www.jalan.net/yad345205/,ホテルアクティブ！山口,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A2%E3%82%AF%E3%83%86%E3%82%A3%E3%83%96%21%E5%B1%B1%E5%8F%A3%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad345205/,2026-08-08T16:27:43+09:00,
691,stage-231-1,松江エクセルホテル東急,島根県,松江,松江,stage-231,231,島根県民会館 大ホール,1,stage,https://www.jalan.net/yad378620/,松江エクセルホテル東急,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E6%9D%BE%E6%B1%9F%E3%82%A8%E3%82%AF%E3%82%BB%E3%83%AB%E3%83%9B%E3%83%86%E3%83%AB%E6%9D%B1%E6%80%A5%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad378620/,2026-08-08T16:27:45+09:00,
692,stage-231-2,ドーミーインEXPRESS松江,島根県,松江,松江,stage-231,231,島根県民会館 大ホール,2,stage,https://www.jalan.net/yad377442/,ドーミーイン ＥＸＰＲＥＳＳ松江,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%89%E3%83%BC%E3%83%9F%E3%83%BC%E3%82%A4%E3%83%B3EXPRESS%E6%9D%BE%E6%B1%9F%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad377442/,2026-08-08T16:27:48+09:00,
693,stage-231-3,ホテルルートイン松江,島根県,松江,松江,stage-231,231,島根県民会館 大ホール,3,stage,,天然温泉「旅人の湯」 ホテルルートイン松江,needs_review,0.97,True,True,multiple Jalan candidates have similar scores,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%AB%E3%83%BC%E3%83%88%E3%82%A4%E3%83%B3%E6%9D%BE%E6%B1%9F%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad386217/,2026-08-08T16:27:51+09:00,
694,stage-232-1,ANAクラウンプラザホテル米子,鳥取県,米子,米子,stage-232,232,米子コンベンションセンター BiG SHiP 多目的ホール,1,stage,https://www.jalan.net/yad331034/,ANAクラウンプラザホテル米子 by IHG,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22ANA%E3%82%AF%E3%83%A9%E3%82%A6%E3%83%B3%E3%83%97%E3%83%A9%E3%82%B6%E3%83%9B%E3%83%86%E3%83%AB%E7%B1%B3%E5%AD%90%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad331034/,2026-08-08T16:27:53+09:00,
