research_no,id,hotel_name,prefecture,area,station,venueId,venueNumber,venue_name,rank,genre,jalan_url,jalan_hotel_name,verification_status,name_similarity,prefecture_match,station_match,verification_note,search_url,candidate_url,checked_at,error
77,stage-026-2,THE KNOT TOKYO Shinjuku,東京都,初台,都庁前・西新宿五丁目,stage-026,26,新国立劇場 中劇場,2,stage,https://www.jalan.net/yad327330/,ザ ノット 東京新宿(THE KNOT TOKYO Shinjuku),verified,0.97,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22THE%20KNOT%20TOKYO%20Shinjuku%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad327330/,2026-08-08T16:29:01+09:00,
78,stage-026-3,アパホテル&リゾート〈西新宿五丁目駅タワー〉,東京都,初台,西新宿五丁目,stage-026,26,新国立劇場 中劇場,3,stage,https://www.jalan.net/yad301471/,アパホテル＆リゾート〈西新宿五丁目駅前タワー〉,verified,0.9744,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%82%A2%E3%83%91%E3%83%9B%E3%83%86%E3%83%AB%26%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88%E3%80%88%E8%A5%BF%E6%96%B0%E5%AE%BF%E4%BA%94%E4%B8%81%E7%9B%AE%E9%A7%85%E3%82%BF%E3%83%AF%E3%83%BC%E3%80%89%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad301471/,2026-08-08T16:29:04+09:00,
79,stage-027-1,ART HOTELS SHIBUYA,東京都,初台,初台・幡ヶ谷,stage-027,27,新国立劇場 小劇場,1,stage,,,not_found,,,,no verified Jalan facility page found,https://search.yahoo.co.jp/search?p=%22ART%20HOTELS%20SHIBUYA%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,,2026-08-08T16:29:10+09:00,
80,stage-027-2,THE KNOT TOKYO Shinjuku,東京都,初台,都庁前・西新宿五丁目,stage-027,27,新国立劇場 小劇場,2,stage,https://www.jalan.net/yad327330/,ザ ノット 東京新宿(THE KNOT TOKYO Shinjuku),verified,0.97,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22THE%20KNOT%20TOKYO%20Shinjuku%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad327330/,2026-08-08T16:29:01+09:00,
81,stage-027-3,アパホテル&リゾート〈西新宿五丁目駅タワー〉,東京都,初台,西新宿五丁目,stage-027,27,新国立劇場 小劇場,3,stage,https://www.jalan.net/yad301471/,アパホテル＆リゾート〈西新宿五丁目駅前タワー〉,verified,0.9744,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%82%A2%E3%83%91%E3%83%9B%E3%83%86%E3%83%AB%26%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88%E3%80%88%E8%A5%BF%E6%96%B0%E5%AE%BF%E4%BA%94%E4%B8%81%E7%9B%AE%E9%A7%85%E3%82%BF%E3%83%AF%E3%83%BC%E3%80%89%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad301471/,2026-08-08T16:29:04+09:00,
82,stage-028-1,ホテルサンシティ池袋,東京都,池袋西口,池袋西口,stage-028,28,東京芸術劇場 プレイハウス,1,stage,https://www.jalan.net/yad363660/,ホテルサンシティ池袋,verified,1.0,True,False,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%B5%E3%83%B3%E3%82%B7%E3%83%86%E3%82%A3%E6%B1%A0%E8%A2%8B%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad363660/,2026-08-08T16:29:13+09:00,
83,stage-028-2,ホテルアーバン,東京都,池袋西口,池袋西口,stage-028,28,東京芸術劇場 プレイハウス,2,stage,https://www.jalan.net/yad329080/,ホテルアーバン,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A2%E3%83%BC%E3%83%90%E3%83%B3%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad329080/,2026-08-08T16:29:16+09:00,
84,stage-028-3,スーパーホテルPremier池袋天然温泉,東京都,池袋西口,池袋西口・北口,stage-028,28,東京芸術劇場 プレイハウス,3,stage,https://www.jalan.net/yad316663/,スーパーホテルPremier池袋天然温泉 奥湯河原美肌の湯,verified,0.97,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%9B%E3%83%86%E3%83%ABPremier%E6%B1%A0%E8%A2%8B%E5%A4%A9%E7%84%B6%E6%B8%A9%E6%B3%89%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad316663/,2026-08-08T16:29:20+09:00,
85,stage-029-1,ホテルサンシティ池袋,東京都,池袋西口,池袋西口,stage-029,29,東京芸術劇場 シアターイースト,1,stage,https://www.jalan.net/yad363660/,ホテルサンシティ池袋,verified,1.0,True,False,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%B5%E3%83%B3%E3%82%B7%E3%83%86%E3%82%A3%E6%B1%A0%E8%A2%8B%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad363660/,2026-08-08T16:29:13+09:00,
86,stage-029-2,ホテルアーバン,東京都,池袋西口,池袋西口,stage-029,29,東京芸術劇場 シアターイースト,2,stage,https://www.jalan.net/yad329080/,ホテルアーバン,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A2%E3%83%BC%E3%83%90%E3%83%B3%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad329080/,2026-08-08T16:29:16+09:00,
