research_no,id,hotel_name,prefecture,area,station,venueId,venueNumber,venue_name,rank,genre,jalan_url,jalan_hotel_name,verification_status,name_similarity,prefecture_match,station_match,verification_note,search_url,candidate_url,checked_at,error
647,stage-216-2,ホテルマテリアル,京都府,岡崎・東山,東山,stage-216,216,ロームシアター京都 メインホール,2,stage,,ＨＯＴＥＬ ＭＡＴＥＲＩＡＬ,needs_review,0.0,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%9E%E3%83%86%E3%83%AA%E3%82%A2%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad354346/,2026-08-08T16:27:30+09:00,
648,stage-216-3,ウェスティン都ホテル京都,京都府,岡崎・東山,蹴上,stage-216,216,ロームシアター京都 メインホール,3,stage,https://www.jalan.net/yad361088/,ウェスティン都ホテル京都,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%82%A6%E3%82%A7%E3%82%B9%E3%83%86%E3%82%A3%E3%83%B3%E9%83%BD%E3%83%9B%E3%83%86%E3%83%AB%E4%BA%AC%E9%83%BD%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad361088/,2026-08-08T16:27:33+09:00,
649,stage-217-1,ホテルウィングインターナショナルプレミアム京都三条,京都府,岡崎・東山,三条・東山,stage-217,217,ロームシアター京都 サウスホール,1,stage,,KOKO HOTEL 京都三条,needs_review,0.2105,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0%E4%BA%AC%E9%83%BD%E4%B8%89%E6%9D%A1%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad330793/,2026-08-08T16:27:36+09:00,
650,stage-217-2,ホテルマテリアル,京都府,岡崎・東山,東山,stage-217,217,ロームシアター京都 サウスホール,2,stage,,ＨＯＴＥＬ ＭＡＴＥＲＩＡＬ,needs_review,0.0,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%9E%E3%83%86%E3%83%AA%E3%82%A2%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad354346/,2026-08-08T16:27:30+09:00,
651,stage-217-3,ウェスティン都ホテル京都,京都府,岡崎・東山,蹴上,stage-217,217,ロームシアター京都 サウスホール,3,stage,https://www.jalan.net/yad361088/,ウェスティン都ホテル京都,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%82%A6%E3%82%A7%E3%82%B9%E3%83%86%E3%82%A3%E3%83%B3%E9%83%BD%E3%83%9B%E3%83%86%E3%83%AB%E4%BA%AC%E9%83%BD%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad361088/,2026-08-08T16:27:33+09:00,
652,stage-218-1,都ホテル 京都八条,京都府,京都駅,京都,stage-218,218,京都劇場,1,stage,https://www.jalan.net/yad310077/,都ホテル 京都八条,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E9%83%BD%E3%83%9B%E3%83%86%E3%83%AB%20%E4%BA%AC%E9%83%BD%E5%85%AB%E6%9D%A1%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad310077/,2026-08-08T16:27:39+09:00,
653,stage-218-2,ダイワロイネットホテル京都テラス八条 PREMIER,京都府,京都駅,京都,stage-218,218,京都劇場,2,stage,https://www.jalan.net/yad306786/,ダイワロイネットホテル京都テラス八条 PREMIER,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%80%E3%82%A4%E3%83%AF%E3%83%AD%E3%82%A4%E3%83%8D%E3%83%83%E3%83%88%E3%83%9B%E3%83%86%E3%83%AB%E4%BA%AC%E9%83%BD%E3%83%86%E3%83%A9%E3%82%B9%E5%85%AB%E6%9D%A1%20PREMIER%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad306786/,2026-08-08T16:27:43+09:00,
654,stage-218-3,ヴィアインプライム京都駅八条口,京都府,京都駅,京都,stage-218,218,京都劇場,3,stage,https://www.jalan.net/yad367740/,ＪＲ西日本グループ ヴィアインプライム京都駅八条口,verified,0.97,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%B4%E3%82%A3%E3%82%A2%E3%82%A4%E3%83%B3%E3%83%97%E3%83%A9%E3%82%A4%E3%83%A0%E4%BA%AC%E9%83%BD%E9%A7%85%E5%85%AB%E6%9D%A1%E5%8F%A3%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad367740/,2026-08-08T16:27:46+09:00,
655,stage-219-1,ホテルミュッセ京都四条河原町名鉄,京都府,祇園四条,河原町,stage-219,219,南座,1,stage,https://www.jalan.net/yad391887/,ホテルミュッセ京都四条河原町名鉄,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%9F%E3%83%A5%E3%83%83%E3%82%BB%E4%BA%AC%E9%83%BD%E5%9B%9B%E6%9D%A1%E6%B2%B3%E5%8E%9F%E7%94%BA%E5%90%8D%E9%89%84%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad391887/,2026-08-08T16:27:49+09:00,
656,stage-219-2,京都セントラルイン,京都府,祇園四条,河原町,stage-219,219,南座,2,stage,https://www.jalan.net/yad353137/,京都セントラルイン,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E4%BA%AC%E9%83%BD%E3%82%BB%E3%83%B3%E3%83%88%E3%83%A9%E3%83%AB%E3%82%A4%E3%83%B3%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad353137/,2026-08-08T16:27:53+09:00,
657,stage-219-3,ホテルフォルツァ京都四条河原町,京都府,祇園四条,河原町,stage-219,219,南座,3,stage,https://www.jalan.net/yad397375/,FORZAホテルフォルツァ京都四条河原町,verified,0.97,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%95%E3%82%A9%E3%83%AB%E3%83%84%E3%82%A1%E4%BA%AC%E9%83%BD%E5%9B%9B%E6%9D%A1%E6%B2%B3%E5%8E%9F%E7%94%BA%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad397375/,2026-08-08T16:27:57+09:00,
658,stage-220-1,ホテル日航奈良,奈良県,奈良,奈良,stage-220,220,なら100年会館 大ホール,1,stage,https://www.jalan.net/yad399780/,ホテル日航奈良,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E6%97%A5%E8%88%AA%E5%A5%88%E8%89%AF%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad399780/,2026-08-08T16:28:00+09:00,
659,stage-220-2,ダイワロイネットホテル奈良,奈良県,奈良,奈良,stage-220,220,なら100年会館 大ホール,2,stage,https://www.jalan.net/yad308728/,天然温泉 奈良若草の湯 ダイワロイネットホテル奈良,verified,0.97,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%80%E3%82%A4%E3%83%AF%E3%83%AD%E3%82%A4%E3%83%8D%E3%83%83%E3%83%88%E3%83%9B%E3%83%86%E3%83%AB%E5%A5%88%E8%89%AF%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad308728/,2026-08-08T16:28:03+09:00,
660,stage-220-3,天然温泉 吉野桜の湯 御宿 野乃 奈良,奈良県,奈良,奈良,stage-220,220,なら100年会館 大ホール,3,stage,https://www.jalan.net/yad347886/,天然温泉 吉野桜の湯 御宿 野乃奈良（ドーミーインチェーン）,verified,0.97,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E5%A4%A9%E7%84%B6%E6%B8%A9%E6%B3%89%20%E5%90%89%E9%87%8E%E6%A1%9C%E3%81%AE%E6%B9%AF%20%E5%BE%A1%E5%AE%BF%20%E9%87%8E%E4%B9%83%20%E5%A5%88%E8%89%AF%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad347886/,2026-08-08T16:28:06+09:00,
661,stage-221-1,びわ湖ホテル,滋賀県,大津・びわ湖浜大津,びわ湖浜大津,stage-221,221,滋賀県立芸術劇場 びわ湖ホール 大ホール,1,stage,,琵琶湖ホテル,needs_review,0.6667,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%81%B3%E3%82%8F%E6%B9%96%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad379554/,2026-08-08T16:28:09+09:00,
662,stage-221-2,HOTEL 講 大津百町,滋賀県,大津・びわ湖浜大津,大津,stage-221,221,滋賀県立芸術劇場 びわ湖ホール 大ホール,2,stage,,,not_found,,,,no verified Jalan facility page found,https://search.yahoo.co.jp/search?p=%22HOTEL%20%E8%AC%9B%20%E5%A4%A7%E6%B4%A5%E7%99%BE%E7%94%BA%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,,2026-08-08T16:28:15+09:00,
663,stage-221-3,東横INN京都琵琶湖大津,滋賀県,大津・びわ湖浜大津,大津,stage-221,221,滋賀県立芸術劇場 びわ湖ホール 大ホール,3,stage,https://www.jalan.net/yad383697/,東横ＩＮＮ京都琵琶湖大津,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E6%9D%B1%E6%A8%AAINN%E4%BA%AC%E9%83%BD%E7%90%B5%E7%90%B6%E6%B9%96%E5%A4%A7%E6%B4%A5%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad383697/,2026-08-08T16:28:18+09:00,
664,stage-222-1,ダイワロイネットホテル和歌山,和歌山県,和歌山,和歌山,stage-222,222,和歌山県民文化会館 大ホール,1,stage,https://www.jalan.net/yad318333/,ダイワロイネットホテル和歌山,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%80%E3%82%A4%E3%83%AF%E3%83%AD%E3%82%A4%E3%83%8D%E3%83%83%E3%83%88%E3%83%9B%E3%83%86%E3%83%AB%E5%92%8C%E6%AD%8C%E5%B1%B1%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad318333/,2026-08-08T16:28:21+09:00,
665,stage-222-2,天然温泉 紀州の湯 ドーミーインPREMIUM和歌山,和歌山県,和歌山,和歌山,stage-222,222,和歌山県民文化会館 大ホール,2,stage,https://www.jalan.net/yad380232/,天然温泉 紀州の湯 ドーミーインＰＲＥＭＩＵＭ和歌山,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E5%A4%A9%E7%84%B6%E6%B8%A9%E6%B3%89%20%E7%B4%80%E5%B7%9E%E3%81%AE%E6%B9%AF%20%E3%83%89%E3%83%BC%E3%83%9F%E3%83%BC%E3%82%A4%E3%83%B3PREMIUM%E5%92%8C%E6%AD%8C%E5%B1%B1%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad380232/,2026-08-08T16:28:24+09:00,
