research_no,id,hotel_name,prefecture,area,station,venueId,venueNumber,venue_name,rank,genre,jalan_url,jalan_hotel_name,verification_status,name_similarity,prefecture_match,station_match,verification_note,search_url,candidate_url,checked_at,error
343,stage-115-1,所沢パークホテル,埼玉県,航空公園・所沢,所沢,stage-115,115,所沢市民文化センター ミューズ マーキーホール,1,stage,https://www.jalan.net/yad326366/,所沢パークホテル,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E6%89%80%E6%B2%A2%E3%83%91%E3%83%BC%E3%82%AF%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad326366/,2026-08-08T16:27:36+09:00,
344,stage-115-2,久米川ウィングホテル,埼玉県,航空公園・所沢,久米川,stage-115,115,所沢市民文化センター ミューズ マーキーホール,2,stage,https://www.jalan.net/yad326418/,久米川ウイングホテル,verified_fuzzy,0.9,False,True,hotel name is a fuzzy/renamed match; location context consistent,https://search.yahoo.co.jp/search?p=%22%E4%B9%85%E7%B1%B3%E5%B7%9D%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad326418/,2026-08-08T16:27:41+09:00,
345,stage-115-3,ビジネスホテル マーキュリー,埼玉県,航空公園・所沢,久米川,stage-115,115,所沢市民文化センター ミューズ マーキーホール,3,stage,https://www.jalan.net/yad356334/,ビジネスホテル マーキュリー（ロイヤルイングループ）,verified,0.97,False,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9%E3%83%9B%E3%83%86%E3%83%AB%20%E3%83%9E%E3%83%BC%E3%82%AD%E3%83%A5%E3%83%AA%E3%83%BC%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad356334/,2026-08-08T16:27:44+09:00,
346,stage-116-1,所沢パークホテル,埼玉県,東所沢,所沢,stage-116,116,ところざわサクラタウン ジャパンパビリオン ホールA,1,stage,https://www.jalan.net/yad326366/,所沢パークホテル,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E6%89%80%E6%B2%A2%E3%83%91%E3%83%BC%E3%82%AF%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad326366/,2026-08-08T16:27:36+09:00,
347,stage-116-2,久米川ウィングホテル,埼玉県,東所沢,久米川,stage-116,116,ところざわサクラタウン ジャパンパビリオン ホールA,2,stage,https://www.jalan.net/yad326418/,久米川ウイングホテル,verified_fuzzy,0.9,False,True,hotel name is a fuzzy/renamed match; location context consistent,https://search.yahoo.co.jp/search?p=%22%E4%B9%85%E7%B1%B3%E5%B7%9D%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad326418/,2026-08-08T16:27:41+09:00,
348,stage-116-3,ビジネスホテル マーキュリー,埼玉県,東所沢,久米川,stage-116,116,ところざわサクラタウン ジャパンパビリオン ホールA,3,stage,https://www.jalan.net/yad356334/,ビジネスホテル マーキュリー（ロイヤルイングループ）,verified,0.97,False,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9%E3%83%9B%E3%83%86%E3%83%AB%20%E3%83%9E%E3%83%BC%E3%82%AD%E3%83%A5%E3%83%AA%E3%83%BC%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad356334/,2026-08-08T16:27:44+09:00,
349,stage-117-1,ダイワロイネットホテル水戸,茨城県,水戸,水戸,stage-117,117,水戸市民会館 グロービスホール,1,stage,https://www.jalan.net/yad314882/,ダイワロイネットホテル水戸,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%80%E3%82%A4%E3%83%AF%E3%83%AD%E3%82%A4%E3%83%8D%E3%83%83%E3%83%88%E3%83%9B%E3%83%86%E3%83%AB%E6%B0%B4%E6%88%B8%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad314882/,2026-08-08T16:27:47+09:00,
350,stage-117-2,JR東日本ホテルメッツ 水戸,茨城県,水戸,水戸,stage-117,117,水戸市民会館 グロービスホール,2,stage,https://www.jalan.net/yad318263/,JR東日本ホテルメッツ 水戸,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22JR%E6%9D%B1%E6%97%A5%E6%9C%AC%E3%83%9B%E3%83%86%E3%83%AB%E3%83%A1%E3%83%83%E3%83%84%20%E6%B0%B4%E6%88%B8%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad318263/,2026-08-08T16:27:52+09:00,
351,stage-117-3,水戸京成ホテル,茨城県,水戸,水戸,stage-117,117,水戸市民会館 グロービスホール,3,stage,https://www.jalan.net/yad304132/,水戸京成ホテル,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E6%B0%B4%E6%88%B8%E4%BA%AC%E6%88%90%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad304132/,2026-08-08T16:27:56+09:00,
352,stage-118-1,ダイワロイネットホテル水戸,茨城県,水戸,水戸,stage-118,118,ザ・ヒロサワ・シティ会館 大ホール,1,stage,https://www.jalan.net/yad314882/,ダイワロイネットホテル水戸,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%80%E3%82%A4%E3%83%AF%E3%83%AD%E3%82%A4%E3%83%8D%E3%83%83%E3%83%88%E3%83%9B%E3%83%86%E3%83%AB%E6%B0%B4%E6%88%B8%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad314882/,2026-08-08T16:27:47+09:00,
